# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
2.918,140.666,142.058,0.321,-3.746e-6,2588.655,0.287,84.999,63.479,2.733,0,35.503,0.624,0.068,4.26,147.533
2.942,140.111,141.497,0.099,-5.062e-6,2588.655,0.287,85.143,63.479,2.751,0,35.189,0.624,0.021,4.243,146.357
2.978,139.273,140.659,0.363,-5.299e-6,2588.655,0.287,84.964,63.479,2.729,0,34.724,0.623,0.077,4.237,144.374
3,138.767,140.157,0.557,-2.714e-6,2588.655,0.287,84.834,63.479,2.712,0,34.453,0.623,0.119,4.225,143.181
3.014,138.435,139.827,0.526,-2.599e-6,2588.655,0.287,84.852,63.479,2.714,0,34.28,0.623,0.112,4.208,142.465
3.029,138.083,139.478,0.436,-2.111e-6,2588.655,0.287,84.909,63.479,2.722,0,34.093,0.623,0.093,4.184,141.73
3.048,137.659,139.057,0.266,-2.153e-6,2588.655,0.287,85.018,63.479,2.736,0,33.865,0.623,0.056,4.15,140.868
3.075,137.031,138.429,0.076,-2.015e-6,2588.655,0.287,85.141,63.479,2.751,0,33.509,0.623,0.016,4.126,139.56
3.117,136.103,137.495,0.252,-1.309e-6,2588.655,0.287,85.018,63.479,2.735,0,33.007,0.622,0.054,4.111,137.46
3.15,135.381,136.764,0.428,-1.612e-6,2588.655,0.287,84.898,63.479,2.72,0,32.636,0.622,0.091,4.101,135.819
3.169,134.952,136.328,0.486,-9.3e-7,2588.655,0.287,84.858,63.479,2.715,0,32.426,0.622,0.104,4.087,134.865
3.187,134.574,135.943,0.465,0,2588.655,0.287,84.869,63.479,2.717,0,32.235,0.622,0.099,4.068,134.052
3.205,134.177,135.54,0.359,-1.506e-6,2588.655,0.287,84.937,63.479,2.725,0,32.025,0.621,0.076,4.035,133.232
3.229,133.657,135.015,0.092,-1.474e-6,2588.655,0.287,85.111,63.479,2.747,0,31.742,0.621,0.019,4.019,132.213
3.265,132.874,134.232,0.332,-2.891e-6,2588.655,0.287,84.947,63.479,2.726,0,31.344,0.621,0.071,4.012,130.475
3.291,132.298,133.66,0.548,-3.248e-6,2588.655,0.287,84.802,63.479,2.708,0,31.062,0.621,0.117,4.002,129.202
3.307,131.944,133.31,0.574,-3.635e-6,2588.655,0.287,84.783,63.479,2.706,0,30.886,0.621,0.123,3.987,128.465
3.322,131.606,132.976,0.507,-4.011e-6,2588.655,0.287,84.825,63.479,2.711,0,30.715,0.62,0.108,3.967,127.793
3.34,131.224,132.596,0.37,-2.98e-6,2588.655,0.287,84.913,63.479,2.722,0,30.519,0.62,0.079,3.935,127.055
3.364,130.7,132.074,0.111,-3.66e-6,2588.655,0.287,85.081,63.479,2.743,0,30.252,0.62,0.023,3.917,126.066
3.401,129.927,131.297,0.283,-5.181e-6,2588.655,0.287,84.963,63.479,2.728,0,29.88,0.62,0.06,3.903,124.415
3.433,129.257,130.618,0.443,-6.107e-6,2588.655,0.287,84.854,63.479,2.715,0,29.552,0.62,0.094,3.889,122.98
3.454,128.825,130.179,0.442,-4.978e-6,2588.655,0.287,84.852,63.479,2.714,0,29.334,0.619,0.094,3.868,122.091
3.475,128.387,129.736,0.349,-4.764e-6,2588.655,0.287,84.911,63.479,2.722,0,29.106,0.619,0.074,3.838,121.227
3.502,127.829,129.173,0.151,-3.466e-6,2588.655,0.287,85.039,63.479,2.738,0,28.819,0.619,0.032,3.807,120.16
3.542,126.993,128.333,0.089,-5.255e-6,2588.655,0.287,85.075,63.479,2.743,0,28.426,0.619,0.019,3.781,118.507
3.592,125.961,127.302,0.237,-8.075e-6,2588.655,0.287,84.972,63.479,2.73,0,27.963,0.618,0.05,3.753,116.428
3.633,125.117,126.461,0.214,-6.42e-6,2588.655,0.287,84.983,63.479,2.731,0,27.58,0.618,0.045,3.716,114.791
3.68,124.177,125.522,0.085,-6.822e-6,2588.655,0.287,85.064,63.479,2.741,0,27.143,0.618,0.018,3.684,113.008
3.73,123.176,124.517,0.113,-7.843e-6,2588.655,0.287,85.041,63.479,2.738,0,26.684,0.617,0.024,3.661,111.071
3.78,122.189,123.523,0.295,-8.22e-6,2588.655,0.287,84.915,63.479,2.722,0,26.257,0.617,0.062,3.636,109.127
3.815,121.499,122.825,0.226,-7.63e-6,2588.655,0.287,84.957,63.479,2.728,0,25.946,0.617,0.048,3.595,107.832
3.862,120.59,121.912,0.039,-6.576e-6,2588.655,0.287,85.077,63.479,2.743,0,25.532,0.617,0.008,3.571,106.177
3.912,119.617,120.938,0.116,-7.726e-6,2588.655,0.287,85.021,63.479,2.736,0,25.133,0.616,0.024,3.547,104.354
3.962,118.647,119.971,0.32,-7.241e-6,2588.655,0.287,84.881,63.479,2.718,0,24.702,0.616,0.068,3.524,102.52
3.996,117.979,119.305,0.277,-8.261e-6,2588.655,0.287,84.906,63.479,2.721,0,24.405,0.616,0.059,3.486,101.321
4.037,117.206,118.533,0.009,-7.406e-6,2588.655,0.287,85.081,63.479,2.744,0,24.079,0.615,0.002,3.47,100
4.087,116.268,117.588,0.312,-1.208e-5,2588.655,0.287,84.874,63.479,2.717,0,23.696,0.615,0.066,3.449,98.229
4.124,115.585,116.897,0.309,-9.128e-6,2588.655,0.287,84.873,63.479,2.717,0,23.401,0.615,0.065,3.42,97.003
4.161,114.887,116.193,0.185,-7.397e-6,2588.655,0.287,84.952,63.479,2.727,0,23.102,0.615,0.039,3.383,95.795
4.211,113.966,115.267,0.01,-1.058e-5,2588.655,0.287,85.065,63.479,2.741,0,22.73,0.614,0.002,3.367,94.223
4.261,113.043,114.347,0.359,-8.576e-6,2588.655,0.287,84.828,63.479,2.711,0,22.342,0.614,0.076,3.348,92.539
4.296,112.414,113.722,0.353,-9.558e-6,2588.655,0.287,84.83,63.479,2.712,0,22.089,0.614,0.074,3.322,91.47
4.331,111.772,113.083,0.23,-9.803e-6,2588.655,0.287,84.908,63.479,2.722,0,21.826,0.614,0.048,3.287,90.411
4.381,110.871,112.181,0.1,-9.456e-6,2588.655,0.287,84.991,63.479,2.732,0,21.466,0.613,0.021,3.268,88.917
4.431,109.984,111.287,0.308,-1.074e-5,2588.655,0.287,84.848,63.479,2.714,0,21.117,0.613,0.065,3.242,87.371
4.473,109.244,110.541,0.263,-8.749e-6,2588.655,0.287,84.874,63.479,2.717,0,20.814,0.613,0.055,3.201,86.143
4.523,108.369,109.661,0.005,-9.057e-6,2588.655,0.287,85.043,63.479,2.739,0,20.449,0.613,0.001,3.181,84.752
4.573,107.492,108.784,0.191,-7.729e-6,2588.655,0.287,84.914,63.479,2.722,0,20.106,0.612,0.04,3.152,83.281
4.623,106.62,107.914,0.114,-8.768e-6,2588.655,0.287,84.962,63.479,2.728,0,19.783,0.612,0.024,3.121,81.896
4.673,105.758,107.051,0.017,-8.434e-6,2588.655,0.287,85.023,63.479,2.736,0,19.46,0.612,0.004,3.093,80.538
4.723,104.903,106.195,0.007,-8.387e-6,2588.655,0.287,85.026,63.479,2.737,0,19.128,0.612,0.001,3.07,79.183
4.773,104.054,105.345,0.087,-9.273e-6,2588.655,0.287,84.969,63.479,2.729,0,18.814,0.611,0.018,3.041,77.832
4.823,103.215,104.502,0.064,-9.436e-6,2588.655,0.287,84.981,63.479,2.731,0,18.498,0.611,0.013,3.012,76.526
4.873,102.377,103.664,0.008,-9.35e-6,2588.655,0.287,85.015,63.479,2.735,0,18.183,0.611,0.002,2.988,75.248
4.923,101.548,102.832,0.041,-9.39e-6,2588.655,0.287,84.989,63.479,2.732,0,17.891,0.611,0.009,2.962,73.974
4.973,100.722,102.006,0.057,-9.344e-6,2588.655,0.287,84.975,63.479,2.73,0,17.586,0.61,0.012,2.936,72.723
5.023,99.901,101.186,0.041,-8.648e-6,2588.655,0.287,84.982,63.479,2.731,0,17.296,0.61,0.009,2.912,71.499
5.073,99.088,100.371,0.055,-8.617e-6,2588.655,0.287,84.969,63.479,2.729,0,17.019,0.61,0.012,2.885,70.29
5.123,98.281,99.562,0.006,-8.728e-6,2588.655,0.287,84.999,63.479,2.733,0,16.732,0.61,0.001,2.862,69.112
5.173,97.476,98.758,0.101,-8.83e-6,2588.655,0.287,84.932,63.479,2.725,0,16.442,0.609,0.021,2.837,67.925
5.223,96.676,97.96,0.082,-9.26e-6,2588.655,0.287,84.942,63.479,2.726,0,16.165,0.609,0.017,2.811,66.779
5.273,95.882,97.167,0.078,-9.263e-6,2588.655,0.287,84.941,63.479,2.726,0,15.885,0.609,0.016,2.787,65.648
5.323,95.094,96.379,0.065,-9.147e-6,2588.655,0.287,84.947,63.479,2.726,0,15.621,0.609,0.014,2.769,64.538
5.373,94.316,95.597,0.227,-9.077e-6,2588.655,0.287,84.836,63.479,2.712,0,15.372,0.609,0.048,2.74,63.417
5.423,93.542,94.821,0.116,-8.143e-6,2588.655,0.287,84.907,63.479,2.721,0,15.104,0.608,0.024,2.713,62.36
5.473,92.77,94.049,0.027,-7.735e-6,2588.655,0.287,84.963,63.479,2.728,0,14.851,0.608,0.006,2.691,61.317
5.523,92.003,93.282,0.028,-7.506e-6,2588.655,0.287,84.96,63.479,2.728,0,14.615,0.608,0.006,2.667,60.276
5.573,91.241,92.519,0.001,-7.554e-6,2588.655,0.287,84.975,63.479,2.73,0,14.38,0.608,2.118e-4,2.649,59.255
5.623,90.482,91.761,0.119,-7.32e-6,2588.655,0.287,84.893,63.479,2.72,0,14.139,0.608,0.025,2.631,58.226
5.673,89.723,91.006,0.329,-6.269e-6,2588.655,0.287,84.75,63.479,2.701,0,13.886,0.607,0.069,2.608,57.196
5.723,88.967,90.256,0.356,-8.827e-6,2588.655,0.287,84.73,63.479,2.699,0,13.636,0.607,0.075,2.579,56.211
5.773,88.217,89.511,0.215,-8.526e-6,2588.655,0.287,84.821,63.479,2.71,0,13.387,0.607,0.045,2.549,55.268
5.823,87.475,88.771,0.058,-8.418e-6,2588.655,0.287,84.922,63.479,2.723,0,13.148,0.607,0.012,2.537,54.343
5.873,86.743,88.038,0.358,-7.672e-6,2588.655,0.287,84.72,63.479,2.698,0,12.926,0.607,0.075,2.523,53.367
5.923,86.019,87.309,0.566,-8.146e-6,2588.655,0.287,84.581,63.479,2.68,0,12.719,0.606,0.119,2.511,52.422
5.961,85.474,86.758,0.666,-7.286e-6,2588.655,0.287,84.514,63.479,2.671,0,12.573,0.606,0.141,2.492,51.722
5.993,85.006,86.286,0.512,-7.48e-6,2588.655,0.287,84.613,63.479,2.684,0,12.428,0.606,0.108,2.453,51.16
6.037,84.386,85.665,0.004,-7.275e-6,2588.655,0.287,84.948,63.479,2.727,0,12.219,0.606,8.291e-4,2.443,50.465
6.087,83.664,84.947,0.364,-7.663e-6,2588.655,0.287,84.705,63.479,2.696,0,12.017,0.606,0.076,2.426,49.542
6.137,82.943,84.233,0.425,-8.148e-6,2588.655,0.287,84.663,63.479,2.69,0,11.828,0.606,0.089,2.405,48.673
6.187,82.225,83.522,0.425,-9.23e-6,2588.655,0.287,84.66,63.479,2.69,0,11.628,0.606,0.089,2.374,47.824
6.237,81.513,82.816,0.089,-7.83e-6,2588.655,0.287,84.882,63.479,2.718,0,11.442,0.605,0.018,2.355,47.033
6.287,80.811,82.116,0.134,-8.197e-6,2588.655,0.287,84.849,63.479,2.714,0,11.252,0.605,0.028,2.339,46.205
6.337,80.115,81.419,0.256,-7.671e-6,2588.655,0.287,84.765,63.479,2.703,0,11.061,0.605,0.054,2.32,45.381
6.387,79.424,80.727,0.304,-8.406e-6,2588.655,0.287,84.731,63.479,2.699,0,10.876,0.605,0.064,2.295,44.579
6.437,78.737,80.038,0.185,-8.108e-6,2588.655,0.287,84.809,63.479,2.709,0,10.686,0.605,0.038,2.271,43.808
6.487,78.049,79.352,0.116,-8.275e-6,2588.655,0.287,84.852,63.479,2.714,0,10.487,0.605,0.024,2.258,43.042
6.537,77.36,78.669,0.375,-9.038e-6,2588.655,0.287,84.677,63.479,2.692,0,10.296,0.604,0.079,2.234,42.247
6.587,76.673,77.989,0.238,-8.894e-6,2588.655,0.287,84.766,63.479,2.703,0,10.124,0.604,0.05,2.211,41.511
6.637,75.993,77.313,0.145,-9.415e-6,2588.655,0.287,84.826,63.479,2.711,0,9.945,0.604,0.03,2.191,40.781
6.687,75.318,76.641,0.106,-9.47e-6,2588.655,0.287,84.85,63.479,2.714,0,9.779,0.604,0.022,2.175,40.056
6.737,74.649,75.974,0.218,-9.326e-6,2588.655,0.287,84.773,63.479,2.704,0,9.609,0.604,0.045,2.154,39.326
6.787,73.984,75.309,0.197,-8.886e-6,2588.655,0.287,84.786,63.479,2.706,0,9.434,0.604,0.041,2.133,38.622
6.837,73.322,74.649,0.161,-8.618e-6,2588.655,0.287,84.807,63.479,2.709,0,9.267,0.604,0.033,2.109,37.929
6.887,72.662,73.991,0.061,-8.978e-6,2588.655,0.287,84.872,63.479,2.717,0,9.09,0.603,0.013,2.091,37.252
6.937,72.002,73.335,0.108,-9e-6,2588.655,0.287,84.838,63.479,2.713,0,8.928,0.603,0.023,2.072,36.57
6.987,71.345,72.684,0.074,-9.035e-6,2588.655,0.287,84.86,63.479,2.715,0,8.773,0.603,0.015,2.053,35.906
7.037,70.692,72.035,0.094,-9.428e-6,2588.655,0.287,84.844,63.479,2.713,0,8.614,0.603,0.02,2.034,35.247
7.087,70.042,71.389,0.044,-9.381e-6,2588.655,0.287,84.876,63.479,2.717,0,8.467,0.603,0.009,2.017,34.604
7.137,69.397,70.747,0.096,-9.442e-6,2588.655,0.287,84.839,63.479,2.713,0,8.317,0.603,0.02,1.998,33.962
7.187,68.755,70.108,0.103,-9.013e-6,2588.655,0.287,84.833,63.479,2.712,0,8.168,0.603,0.021,1.977,33.333
7.237,68.115,69.472,0.068,-8.982e-6,2588.655,0.287,84.854,63.479,2.715,0,8.008,0.602,0.014,1.962,32.716
7.287,67.475,68.838,0.217,-8.921e-6,2588.655,0.287,84.753,63.479,2.702,0,7.852,0.602,0.045,1.941,32.092
7.337,66.837,68.208,0.125,-9.009e-6,2588.655,0.287,84.813,63.479,2.709,0,7.71,0.602,0.026,1.924,31.498
7.387,66.203,67.58,0.224,-9.095e-6,2588.655,0.287,84.744,63.479,2.701,0,7.555,0.602,0.047,1.903,30.896
7.437,65.572,66.955,0.077,-8.936e-6,2588.655,0.287,84.841,63.479,2.713,0,7.425,0.602,0.016,1.895,30.325
7.487,64.949,66.334,0.395,-9.551e-6,2588.655,0.287,84.628,63.479,2.686,0,7.306,0.602,0.083,1.882,29.725
7.537,64.33,65.717,0.523,-9.029e-6,2588.655,0.287,84.543,63.479,2.675,0,7.181,0.602,0.11,1.867,29.15
7.587,63.715,65.101,0.591,-8.665e-6,2588.655,0.287,84.497,63.479,2.669,0,7.063,0.602,0.124,1.832,28.588
7.637,63.1,64.489,0.034,-8.838e-6,2588.655,0.287,84.864,63.479,2.716,0,6.902,0.602,0.007,1.819,28.081
7.687,62.481,63.877,0.193,-9.027e-6,2588.655,0.287,84.756,63.479,2.702,0,6.775,0.601,0.04,1.804,27.526
7.737,61.866,63.268,0.098,-8.876e-6,2588.655,0.287,84.818,63.479,2.71,0,6.681,0.601,0.02,1.785,26.999
7.787,61.255,62.662,0.025,-8.853e-6,2588.655,0.287,84.866,63.479,2.716,0,6.562,0.601,0.005,1.773,26.478
7.837,60.643,62.058,0.206,-8.866e-6,2588.655,0.287,84.743,63.479,2.701,0,6.441,0.601,0.043,1.76,25.944
7.887,60.032,61.455,0.433,-9.676e-6,2588.655,0.287,84.591,63.479,2.681,0,6.315,0.601,0.091,1.745,25.415
7.937,59.421,60.854,0.497,-1.005e-5,2588.655,0.287,84.547,63.479,2.676,0,6.194,0.601,0.104,1.733,24.905
7.973,58.982,60.423,0.555,-1.009e-5,2588.655,0.287,84.508,63.479,2.671,0,6.103,0.601,0.117,1.714,24.542
8.023,58.374,59.827,0.564,-9.82e-6,2588.655,0.287,84.501,63.479,2.67,0,5.974,0.601,0.119,1.695,24.048
8.073,57.769,59.233,0.554,-9.37e-6,2588.655,0.287,84.506,63.479,2.67,0,5.84,0.601,0.116,1.67,23.563
8.123,57.167,58.643,0.282,-9.283e-6,2588.655,0.287,84.683,63.479,2.693,0,5.714,0.601,0.059,1.654,23.103
8.173,56.573,58.057,0.283,-9.167e-6,2588.655,0.287,84.681,63.479,2.693,0,5.609,0.6,0.059,1.645,22.634
8.223,55.986,57.473,0.622,-8.861e-6,2588.655,0.287,84.458,63.479,2.664,0,5.501,0.6,0.131,1.634,22.151
8.273,55.403,56.893,0.853,-9.44e-6,2588.655,0.287,84.307,63.479,2.645,0,5.397,0.6,0.18,1.62,21.683
8.323,54.824,56.315,0.971,-9.691e-6,2588.655,0.287,84.23,63.479,2.635,0,5.295,0.6,0.206,1.603,21.229
8.373,54.248,55.739,0.931,-9.999e-6,2588.655,0.287,84.254,63.479,2.638,0,5.192,0.6,0.197,1.579,20.792
8.423,53.671,55.166,0.6,-1.028e-5,2588.655,0.287,84.466,63.479,2.665,0,5.076,0.6,0.126,1.556,20.376
8.473,53.093,54.593,0.273,-1.05e-5,2588.655,0.287,84.68,63.479,2.693,0,4.971,0.6,0.057,1.536,19.965
8.523,52.515,54.023,0.117,-1.059e-5,2588.655,0.287,84.783,63.479,2.706,0,4.87,0.6,0.024,1.529,19.551
8.573,51.933,53.453,0.568,-1.05e-5,2588.655,0.287,84.484,63.479,2.668,0,4.769,0.6,0.119,1.518,19.109
8.623,51.349,52.884,0.76,-1.037e-5,2588.655,0.287,84.357,63.479,2.652,0,4.678,0.6,0.16,1.503,18.688
8.673,50.767,52.317,0.763,-9.753e-6,2588.655,0.287,84.354,63.479,2.651,0,4.587,0.6,0.161,1.486,18.282
8.723,50.187,51.752,0.712,-9.806e-6,2588.655,0.287,84.387,63.479,2.655,0,4.493,0.599,0.15,1.469,17.885
8.773,49.61,51.19,0.661,-9.178e-6,2588.655,0.287,84.418,63.479,2.659,0,4.393,0.599,0.139,1.45,17.495
8.823,49.035,50.63,0.611,-8.859e-6,2588.655,0.287,84.45,63.479,2.663,0,4.29,0.599,0.128,1.428,17.11
8.873,48.463,50.072,0.333,-8.75e-6,2588.655,0.287,84.631,63.479,2.686,0,4.193,0.599,0.069,1.413,16.742
8.923,47.897,49.518,0.269,-8.74e-6,2588.655,0.287,84.672,63.479,2.692,0,4.115,0.599,0.056,1.407,16.371
8.973,47.338,48.967,0.664,-9.051e-6,2588.655,0.287,84.412,63.479,2.658,0,4.035,0.599,0.14,1.396,15.986
9.023,46.782,48.419,0.901,-8.855e-6,2588.655,0.287,84.258,63.479,2.639,0,3.953,0.599,0.191,1.384,15.614
9.073,46.23,47.872,1.053,-9.553e-6,2588.655,0.287,84.16,63.479,2.627,0,3.874,0.599,0.224,1.367,15.252
9.123,45.679,47.328,0.963,-9.936e-6,2588.655,0.287,84.216,63.479,2.634,0,3.786,0.599,0.204,1.347,14.905
9.173,45.13,46.785,0.735,-9.896e-6,2588.655,0.287,84.362,63.479,2.652,0,3.696,0.599,0.155,1.324,14.57
9.223,44.578,46.243,0.362,-1.036e-5,2588.655,0.287,84.604,63.479,2.683,0,3.604,0.599,0.075,1.307,14.244
9.273,44.026,45.703,0.206,-1.048e-5,2588.655,0.287,84.707,63.479,2.696,0,3.53,0.599,0.043,1.293,13.915
9.323,43.475,45.165,0.141,-1.05e-5,2588.655,0.287,84.749,63.479,2.701,0,3.462,0.599,0.029,1.278,13.587
9.373,42.924,44.628,0.067,-1.051e-5,2588.655,0.287,84.799,63.479,2.708,0,3.39,0.599,0.014,1.27,13.265
9.423,42.372,44.092,0.539,-1.04e-5,2588.655,0.287,84.484,63.479,2.668,0,3.307,0.598,0.113,1.262,12.927
9.473,41.817,43.556,1.077,-1.089e-5,2588.655,0.287,84.137,63.479,2.624,0,3.225,0.598,0.229,1.25,12.592
9.523,41.26,43.022,1.273,-1.116e-5,2588.655,0.287,84.012,63.479,2.608,0,3.149,0.598,0.272,1.233,12.274
9.573,40.705,42.489,1.1,-1.076e-5,2588.655,0.287,84.12,63.479,2.621,0,3.077,0.598,0.234,1.216,11.975
9.623,40.153,41.959,1.097,-1.035e-5,2588.655,0.287,84.121,63.479,2.622,0,2.996,0.598,0.233,1.199,11.674
9.673,39.601,41.431,1.107,-1.035e-5,2588.655,0.287,84.114,63.479,2.621,0,2.911,0.598,0.235,1.177,11.379
9.723,39.053,40.906,0.678,-1.066e-5,2588.655,0.287,84.388,63.479,2.655,0,2.835,0.598,0.142,1.155,11.102
9.773,38.511,40.384,0.219,-1.07e-5,2588.655,0.287,84.688,63.479,2.694,0,2.761,0.598,0.046,1.138,10.831
9.823,37.972,39.865,0.133,-1.073e-5,2588.655,0.287,84.745,63.479,2.701,0,2.687,0.598,0.027,1.129,10.553
9.873,37.438,39.348,0.521,-1.066e-5,2588.655,0.287,84.487,63.479,2.668,0,2.619,0.598,0.109,1.119,10.268
9.923,36.906,38.833,0.841,-1.078e-5,2588.655,0.287,84.279,63.479,2.642,0,2.553,0.598,0.178,1.115,9.989
9.973,36.378,38.321,1.41,-1.096e-5,2588.655,0.287,83.918,63.479,2.596,0,2.506,0.598,0.303,1.107,9.71
10.023,35.855,37.81,1.718,-1.087e-5,2588.655,0.287,83.728,63.479,2.572,0,2.453,0.598,0.372,1.1,9.442
10.073,35.333,37.301,2.041,-1.105e-5,2588.655,0.287,83.532,63.479,2.547,0,2.408,0.598,0.446,1.088,9.18
10.123,34.816,36.794,2.131,-1.128e-5,2588.655,0.287,83.478,63.479,2.54,0,2.356,0.598,0.466,1.067,8.927
10.173,34.297,36.288,1.734,-1.137e-5,2588.655,0.287,83.716,63.479,2.57,0,2.28,0.598,0.375,1.051,8.691
10.223,33.777,35.784,1.511,-1.135e-5,2588.655,0.287,83.852,63.479,2.587,0,2.223,0.597,0.325,1.034,8.454
10.273,33.257,35.282,1.196,-1.129e-5,2588.655,0.287,84.048,63.479,2.612,0,2.166,0.597,0.255,1.014,8.223
10.323,32.737,34.781,0.71,-1.128e-5,2588.655,0.287,84.358,63.479,2.652,0,2.106,0.597,0.149,0.991,8
10.373,32.213,34.281,0.084,-1.126e-5,2588.655,0.287,84.77,63.479,2.704,0,2.046,0.597,0.017,0.982,7.783
10.423,31.688,33.782,0.296,-1.125e-5,2588.655,0.287,84.628,63.479,2.686,0,1.999,0.597,0.062,0.975,7.552
10.473,31.162,33.284,0.609,-1.116e-5,2588.655,0.287,84.422,63.479,2.66,0,1.955,0.597,0.128,0.968,7.324
10.523,30.634,32.788,1.014,-1.117e-5,2588.655,0.287,84.16,63.479,2.627,0,1.908,0.597,0.215,0.961,7.097
10.573,30.104,32.292,1.669,-1.105e-5,2588.655,0.287,83.75,63.479,2.574,0,1.855,0.597,0.36,0.952,6.87
10.623,29.571,31.797,2.147,-1.073e-5,2588.655,0.287,83.461,63.479,2.538,0,1.805,0.597,0.47,0.939,6.651
10.673,29.038,31.303,2.089,-1.071e-5,2588.655,0.287,83.495,63.479,2.542,0,1.758,0.597,0.456,0.924,6.446
10.723,28.507,30.813,1.723,-1.101e-5,2588.655,0.287,83.715,63.479,2.57,0,1.712,0.597,0.373,0.908,6.25
10.773,27.981,30.325,1.444,-1.099e-5,2588.655,0.287,83.887,63.479,2.592,0,1.664,0.597,0.31,0.893,6.058
10.823,27.455,29.84,1.573,-1.107e-5,2588.655,0.287,83.806,63.479,2.582,0,1.605,0.597,0.339,0.876,5.862
10.873,26.93,29.357,1.38,-1.121e-5,2588.655,0.287,83.925,63.479,2.597,0,1.551,0.597,0.296,0.857,5.676
10.923,26.409,28.877,0.775,-1.131e-5,2588.655,0.287,84.308,63.479,2.645,0,1.505,0.597,0.163,0.838,5.5
10.973,25.893,28.401,0.148,-1.13e-5,2588.655,0.287,84.72,63.479,2.698,0,1.463,0.597,0.031,0.824,5.328
11.023,25.38,27.928,0.169,-1.13e-5,2588.655,0.287,84.705,63.479,2.696,0,1.414,0.597,0.035,0.814,5.15
11.073,24.869,27.457,0.499,-1.13e-5,2588.655,0.287,84.485,63.479,2.668,0,1.367,0.597,0.104,0.812,4.973
11.123,24.361,26.989,1.242,-1.133e-5,2588.655,0.287,84.009,63.479,2.607,0,1.339,0.597,0.265,0.817,4.794
11.173,23.858,26.524,2.23,-1.131e-5,2588.655,0.287,83.406,63.479,2.531,0,1.329,0.597,0.489,0.817,4.617
